workflow,feature,input,produced,delta,classification,reason,evidence,intuitive_explanation
top5_74,pct_read_0_100K,0.91,0.92,0.010000000000000009,within,Integer quantization and fixed transfer ladder constraints.,Read-bin[0-100K] ops = 192805/209755 (step=0.000005),Bin shares come from integer op counts; nearest feasible bin count causes small offsets.
top5_74,pct_write_only_files,0.36,0.38,0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 3/8 (step=0.1250),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top6_331,pct_read_only_files,0.5,0.53,0.030000000000000027,within,Discrete file-count and integer-op constraints in role/flag layout.,RO files = 9/17 (step=0.0588),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top6_331,pct_read_write_files,0.07,0.06,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,RW files = 1/17 (step=0.0588),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top6_331,pct_write_only_files,0.43,0.41,-0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 7/17 (step=0.0588),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top7_28,pct_read_only_files,0.0,0.02,0.02,within,Discrete file-count and integer-op constraints in role/flag layout.,RO files = 1/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top7_28,pct_seq_reads,0.66,0.67,0.010000000000000009,within,Integer quantization/rounding constraints.,Seq read ops = 176/263 (step=0.003802),Integer count rounding and discrete planning granularity.
top7_28,pct_write_only_files,1.0,0.98,-0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 63/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top8_48,pct_meta_open_access,0.42,0.43,0.010000000000000009,within,Integer quantization/rounding constraints.,META open ops = 14355/33675 (step=0.000030),Meta fraction uses integer metadata counts over integer total op counts.
top12_236,pct_meta_open_access,0.47,0.48,0.010000000000000009,within,Integer quantization/rounding constraints.,META open ops = 15695/32937 (step=0.000030),Meta fraction uses integer metadata counts over integer total op counts.
top13_237,pct_read_only_files,0.87,0.86,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,RO files = 55/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top13_237,pct_read_write_files,0.01,0.02,0.01,within,Discrete file-count and integer-op constraints in role/flag layout.,RW files = 1/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top13_237,pct_reads,0.92,0.96,0.039999999999999925,within,Integer quantization/rounding constraints.,Read ops = 948896/992106 (step=0.000001),Integer count rounding and discrete planning granularity.
top13_237,pct_write_only_files,0.12,0.13,0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 8/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top13_237,pct_writes,0.08,0.04,-0.04,within,Integer quantization/rounding constraints.,Write ops = 43210/992106 (step=0.000001),Integer count rounding and discrete planning granularity.
top14_344,pct_bytes_read_write_files,0.09,0.1,0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,RW bytes = 6719220312/68309932212,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top14_344,pct_bytes_write_only_files,0.91,0.9,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,WO bytes = 61590711900/68309932212,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top15_50,pct_byte_reads,0.0,0.02,0.02,within,Integer quantization and fixed transfer ladder constraints.,Read bytes = 1248854016/69968330752,Byte split is constrained by integer ops and fixed transfer-size ladders.
top15_50,pct_byte_writes,1.0,0.98,-0.020000000000000018,within,Integer quantization and fixed transfer ladder constraints.,Write bytes = 68719476736/69968330752,Byte split is constrained by integer ops and fixed transfer-size ladders.
top15_50,pct_bytes_read_only_files,0.0,0.02,0.02,within,Discrete file-count and integer-op constraints in role/flag layout.,RO bytes = 1248854016/69968330752,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top15_50,pct_bytes_write_only_files,1.0,0.98,-0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO bytes = 68719476736/69968330752,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top16_225,pct_write_100K_10M,0.8,0.79,-0.010000000000000009,within,Integer quantization and fixed transfer ladder constraints.,Write-bin[100K-10M] ops = 33536/42339 (step=0.000024),Bin shares come from integer op counts; nearest feasible bin count causes small offsets.
top17_41,pct_shared_files,0.61,0.63,0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,Shared files (data+meta) = 5/8 (step=0.1250),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top17_41,pct_unique_files,0.39,0.38,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,Unique files (data+meta) = 3/8 (step=0.1250),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top17_41,pct_write_0_100K,0.83,0.84,0.010000000000000009,within,Integer quantization and fixed transfer ladder constraints.,Write-bin[0-100K] ops = 62830/74931 (step=0.000013),Bin shares come from integer op counts; nearest feasible bin count causes small offsets.
top18_7,pct_meta_open_access,0.45,0.46,0.010000000000000009,within,Integer quantization/rounding constraints.,META open ops = 4935636/10796703 (step=0.000000),Meta fraction uses integer metadata counts over integer total op counts.
top18_7,pct_read_only_files,0.46,0.47,0.009999999999999953,within,Discrete file-count and integer-op constraints in role/flag layout.,RO files = 30/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top18_7,pct_shared_files,0.01,0.02,0.01,within,Discrete file-count and integer-op constraints in role/flag layout.,Shared files (data+meta) = 1/65 (step=0.0154),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top18_7,pct_unique_files,0.99,0.98,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,Unique files (data+meta) = 64/65 (step=0.0154),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top18_7,pct_write_only_files,0.46,0.45,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 29/64 (step=0.0156),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top19_83,pct_bytes_shared_files,0.0,0.03,0.03,within,Discrete file-count and integer-op constraints in role/flag layout.,Shared bytes = 1896388316/68264749116,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top19_83,pct_bytes_unique_files,1.0,0.97,-0.030000000000000027,within,Discrete file-count and integer-op constraints in role/flag layout.,Unique bytes = 66368360800/68264749116,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top20_322,pct_bytes_shared_files,0.0,0.01,0.01,within,Discrete file-count and integer-op constraints in role/flag layout.,Shared bytes = 391240184/67486115632,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top20_322,pct_bytes_unique_files,1.0,0.99,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,Unique bytes = 67094875448/67486115632,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top21_258,pct_byte_reads,0.99,0.96,-0.030000000000000027,within,Integer quantization and fixed transfer ladder constraints.,Read bytes = 220519727104/229851085828,Byte split is constrained by integer ops and fixed transfer-size ladders.
top21_258,pct_byte_writes,0.01,0.04,0.03,within,Integer quantization and fixed transfer ladder constraints.,Write bytes = 9331358724/229851085828,Byte split is constrained by integer ops and fixed transfer-size ladders.
top21_258,pct_bytes_read_only_files,0.99,0.96,-0.030000000000000027,within,Discrete file-count and integer-op constraints in role/flag layout.,RO bytes = 220519727104/229851085828,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top21_258,pct_bytes_write_only_files,0.01,0.04,0.03,within,Discrete file-count and integer-op constraints in role/flag layout.,WO bytes = 9331358724/229851085828,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top21_258,pct_meta_open_access,0.33,0.34,0.010000000000000009,within,Integer quantization/rounding constraints.,META open ops = 4567/13622 (step=0.000073),Meta fraction uses integer metadata counts over integer total op counts.
top22_207,pct_bytes_read_write_files,0.66,0.67,0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,RW bytes = 46019594496/69033344356,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top22_207,pct_bytes_shared_files,0.66,0.67,0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,Shared bytes = 46019594496/69033344356,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top22_207,pct_bytes_unique_files,0.34,0.33,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,Unique bytes = 23013749860/69033344356,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top22_207,pct_bytes_write_only_files,0.34,0.33,-0.010000000000000009,within,Discrete file-count and integer-op constraints in role/flag layout.,WO bytes = 23013749860/69033344356,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top22_207,pct_rw_switches,0.1,0.11,0.009999999999999995,within,Integer quantization/rounding constraints.,RW intent boundaries = 6245/57754 (step=0.000017),Switch ratio is based on integer R<->W boundaries in ordered row sequence.
top24_138,pct_byte_reads,0.86,0.84,-0.020000000000000018,within,Integer quantization and fixed transfer ladder constraints.,Read bytes = 8176257788/9746852368,Byte split is constrained by integer ops and fixed transfer-size ladders.
top24_138,pct_byte_writes,0.14,0.16,0.01999999999999999,within,Integer quantization and fixed transfer ladder constraints.,Write bytes = 1570594580/9746852368,Byte split is constrained by integer ops and fixed transfer-size ladders.
top24_138,pct_bytes_read_only_files,0.84,0.81,-0.029999999999999916,within,Discrete file-count and integer-op constraints in role/flag layout.,RO bytes = 7876803472/9746852368,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top24_138,pct_bytes_read_write_files,0.03,0.04,0.010000000000000002,within,Discrete file-count and integer-op constraints in role/flag layout.,RW bytes = 400817444/9746852368,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top24_138,pct_bytes_write_only_files,0.13,0.15,0.01999999999999999,within,Discrete file-count and integer-op constraints in role/flag layout.,WO bytes = 1469231452/9746852368,"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top24_138,pct_meta_open_access,0.46,0.47,0.009999999999999953,within,Integer quantization/rounding constraints.,META open ops = 3885085/8292275 (step=0.000000),Meta fraction uses integer metadata counts over integer total op counts.
top24_138,pct_read_write_files,0.35,0.33,-0.019999999999999962,within,Discrete file-count and integer-op constraints in role/flag layout.,RW files = 2/6 (step=0.1667),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top24_138,pct_rw_switches,0.02,0.01,-0.01,within,Integer quantization/rounding constraints.,RW intent boundaries = 55965/3731524 (step=0.000000),Switch ratio is based on integer R<->W boundaries in ordered row sequence.
top24_138,pct_write_only_files,0.48,0.5,0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 3/6 (step=0.1667),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top25_64,pct_read_0_100K,0.91,0.9,-0.010000000000000009,within,Integer quantization and fixed transfer ladder constraints.,Read-bin[0-100K] ops = 128863/143024 (step=0.000007),Bin shares come from integer op counts; nearest feasible bin count causes small offsets.
top25_64,pct_read_only_files,0.51,0.53,0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,RO files = 9/17 (step=0.0588),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
top25_64,pct_write_only_files,0.49,0.47,-0.020000000000000018,within,Discrete file-count and integer-op constraints in role/flag layout.,WO files = 8/17 (step=0.0588),"Ratios are built from integer file counts/bytes, so only discrete points are representable."
