workflow,status,nprocs_input,nprocs_used,compared,exact,within_0p1,outside_0p1,note
top1_101,ok,1,2,32,32,0,0,
top2_20,ok,1,2,32,32,0,0,
top3_18,ok,1,2,32,32,0,0,
top4_192,ok,1,2,32,32,0,0,
top5_74,ok,1,2,32,30,2,0,
top6_331,ok,4,4,32,29,3,0,
top7_28,ok,1,2,32,29,3,0,
top8_48,ok,16,16,32,31,1,0,
top9_47,ok,40,40,32,32,0,0,
top10_252,ok,1,2,32,32,0,0,
top11_249,ok,512,512,32,32,0,0,
top12_236,ok,1,2,32,31,1,0,
top13_237,ok,32,32,32,27,5,0,
top14_344,ok,64,64,32,30,2,0,
top15_50,ok,4,4,32,28,4,0,
top16_225,ok,8,8,32,31,1,0,
top17_41,ok,160,160,32,29,3,0,
top18_7,ok,4,4,32,27,5,0,
top19_83,ok,4,4,32,30,2,0,
top20_322,ok,8,8,32,30,2,0,
top21_258,ok,1,2,32,27,5,0,
top22_207,ok,64,64,32,27,5,0,
top23_193,ok,512,512,32,32,0,0,
top24_138,ok,1,2,32,23,9,0,
top25_64,ok,16,16,32,29,3,0,
